"""ds"",""y"""
"""2001-01-572"",418.8249314"
"""2001-01-573"",396.5254231"
"""2001-01-574"",379.8081113"
"""2001-01-575"",366.7486138"
"""2001-01-576"",356.1424952"
"""2001-01-577"",347.2572857"
"""2001-01-578"",339.6307573"
"""2001-01-579"",332.9582586"
"""2001-01-580"",327.030756"
"""2001-01-581"",321.6996671"
"""2001-01-582"",316.8561043"
"""2001-01-583"",312.4181436"
"""2001-01-584"",308.322731"
"""2001-01-585"",304.5203708"
"""2001-01-586"",300.9715366"
"""2001-01-587"",297.6441836"
"""2001-01-588"",294.5119845"
"""2001-01-589"",291.5530524"
"""2001-01-590"",288.7489986"
"""2001-01-591"",286.0842272"
"""2001-01-592"",283.5453972"
"""2001-01-593"",281.1210084"
"""2001-01-594"",278.8010773"
"""2001-01-595"",276.5768817"
"""2001-01-596"",274.4407563"
"""2001-01-597"",272.3859284"
"""2001-01-598"",270.406384"
"""2001-01-599"",268.4967583"
"""2001-01-600"",266.6522453"
"""2001-01-601"",825.7276294"
"""2001-01-602"",823.8845257"
"""2001-01-603"",822.0245566"
"""2001-01-604"",820.147304"
"""2001-01-605"",818.2523344"
"""2001-01-606"",816.3391979"
"""2001-01-607"",814.4074272"
"""2001-01-608"",812.4565365"
"""2001-01-609"",810.486021"
"""2001-01-610"",808.4953549"
"""2001-01-611"",806.4839907"
"""2001-01-612"",804.4513576"
"""2001-01-613"",802.3968598"
"""2001-01-614"",800.3198749"
"""2001-01-615"",798.2197521"
"""2001-01-616"",796.0958099"
"""2001-01-617"",793.9473338"
"""2001-01-618"",791.7735738"
"""2001-01-619"",789.5737413"
"""2001-01-620"",787.3470063"
"""2001-01-621"",785.0924935"
"""2001-01-622"",782.8092782"
"""2001-01-623"",780.496382"
"""2001-01-624"",778.1527678"
"""2001-01-625"",775.7773341"
"""2001-01-626"",773.3689084"
"""2001-01-627"",770.9262403"
"""2001-01-628"",768.4479932"
"""2001-01-629"",765.9327352"
"""2001-01-630"",763.3789288"
"""2001-01-631"",760.7849186"
"""2001-01-632"",758.1489181"
"""2001-01-633"",755.4689944"
"""2001-01-634"",752.7430503"
"""2001-01-635"",749.9688041"
"""2001-01-636"",747.1437659"
"""2001-01-637"",744.2652112"
"""2001-01-638"",741.3301487"
"""2001-01-639"",738.3352846"
"""2001-01-640"",735.2769788"
"""2001-01-641"",732.1511954"
"""2001-01-642"",728.9534421"
"""2001-01-643"",725.6787004"
"""2001-01-644"",722.3213395"
"""2001-01-645"",718.8750147"
"""2001-01-646"",715.3325424"
"""2001-01-647"",711.6857476"
"""2001-01-648"",707.9252758"
"""2001-01-649"",704.040357"
"""2001-01-650"",700.0185089"
"""2001-01-651"",695.8451575"
"""2001-01-652"",691.503147"
"""2001-01-653"",686.9720959"
"""2001-01-654"",682.2275415"
"""2001-01-655"",677.2397788"
"""2001-01-656"",671.9722618"
"""2001-01-657"",666.37935"
"""2001-01-658"",660.4030656"
"""2001-01-659"",653.9683108"
"""2001-01-660"",646.975627"
"""2001-01-661"",639.2899298"
"""2001-01-662"",630.7225304"
"""2001-01-663"",621.00187"
"""2001-01-664"",609.7259284"
"""2001-01-665"",596.2891943"
"""2001-01-666"",579.794008"
"""2001-01-667"",559.0164099"
"""2001-01-668"",532.4905881"
"""2001-01-669"",499.1394762"
"""2001-01-670"",462.4802318"
"""2001-01-671"",428.7851493"
"""2001-01-672"",402.9900806"
"""2001-01-673"",384.1430496"
